comment_id,post_id,user_id,role,college_id,created_at
1,4,652,student,103,2025-11-30 16:58:49.628456
2,315,957,faculty,103,2025-12-26 16:58:49.628456
3,766,942,student,102,2025-11-02 16:58:49.628456
4,352,857,student,104,2025-12-11 16:58:49.628456
5,92,512,student,102,2025-11-23 16:58:49.628456
6,63,188,mentor,101,2025-11-28 16:58:49.628456
7,16,609,student,102,2025-12-24 16:58:49.628456
8,577,109,student,102,2025-12-21 16:58:49.628456
9,780,308,faculty,101,2025-12-31 16:58:49.628456
10,463,820,faculty,101,2025-12-29 16:58:49.628456
11,62,93,student,101,2025-12-01 16:58:49.628456
12,280,163,student,102,2026-01-26 16:58:49.628456
13,798,442,student,103,2025-12-11 16:58:49.628456
14,787,41,faculty,102,2025-12-08 16:58:49.628456
15,454,573,student,102,2025-12-03 16:58:49.628456
16,207,891,student,103,2025-12-03 16:58:49.628456
17,654,686,student,103,2025-12-02 16:58:49.628456
18,761,996,student,103,2025-11-15 16:58:49.628456
19,200,711,student,102,2025-12-25 16:58:49.628456
20,108,365,student,104,2025-11-19 16:58:49.628456
21,56,758,student,103,2025-12-22 16:58:49.628456
22,214,59,student,102,2025-11-15 16:58:49.628456
23,405,407,student,104,2026-01-28 16:58:49.628456
24,537,28,student,102,2025-12-14 16:58:49.628456
25,241,445,faculty,102,2026-01-10 16:58:49.628456
26,590,697,faculty,104,2025-11-10 16:58:49.628456
27,501,388,student,103,2025-11-19 16:58:49.628456
28,544,168,student,104,2026-01-19 16:58:49.628456
29,470,30,faculty,101,2025-11-29 16:58:49.628456
30,679,811,faculty,102,2026-01-03 16:58:49.628456
31,366,1000,student,103,2025-11-04 16:58:49.628456
32,499,729,student,101,2025-11-25 16:58:49.628456
33,768,969,student,101,2025-12-20 16:58:49.628456
34,479,422,faculty,104,2026-01-18 16:58:49.628456
35,417,576,student,102,2025-12-23 16:58:49.628456
36,221,680,faculty,102,2025-11-13 16:58:49.628456
37,465,252,student,104,2025-11-29 16:58:49.628456
38,659,643,student,103,2025-12-05 16:58:49.628456
39,128,822,mentor,103,2025-12-23 16:58:49.628456
40,383,969,student,101,2025-12-19 16:58:49.628456
41,98,35,student,103,2025-11-12 16:58:49.628456
42,582,809,student,102,2025-12-12 16:58:49.628456
43,698,758,student,102,2025-10-30 16:58:49.628456
44,495,134,student,101,2026-01-12 16:58:49.628456
45,549,24,faculty,101,2026-01-20 16:58:49.628456
46,536,122,student,102,2026-01-02 16:58:49.628456
47,29,860,student,102,2025-12-21 16:58:49.628456
48,166,783,student,103,2025-11-03 16:58:49.628456
49,63,348,student,104,2026-01-26 16:58:49.628456
50,213,364,student,102,2025-12-10 16:58:49.628456
51,510,902,student,102,2026-01-04 16:58:49.628456
52,769,904,student,101,2025-11-13 16:58:49.628456
53,121,315,student,104,2025-12-06 16:58:49.628456
54,218,241,faculty,104,2026-01-22 16:58:49.628456
55,489,164,student,103,2025-12-19 16:58:49.628456
56,583,551,student,104,2026-01-23 16:58:49.628456
57,762,415,faculty,103,2025-12-04 16:58:49.628456
58,781,614,student,102,2026-01-03 16:58:49.628456
59,534,456,faculty,103,2025-12-21 16:58:49.628456
60,125,815,student,104,2025-12-17 16:58:49.628456
61,155,574,mentor,104,2025-12-31 16:58:49.628456
62,785,362,student,101,2025-12-23 16:58:49.628456
63,710,288,student,104,2025-12-15 16:58:49.628456
64,42,5,faculty,101,2026-01-15 16:58:49.628456
65,491,170,mentor,103,2026-01-15 16:58:49.628456
66,732,70,student,104,2025-11-15 16:58:49.628456
67,586,288,mentor,104,2026-01-03 16:58:49.628456
68,353,270,student,104,2025-11-29 16:58:49.628456
69,667,818,student,101,2025-11-18 16:58:49.628456
70,267,335,student,102,2025-12-05 16:58:49.628456
71,282,117,student,101,2025-11-04 16:58:49.628456
72,488,145,student,102,2026-01-26 16:58:49.628456
73,351,719,student,103,2025-12-06 16:58:49.628456
74,29,589,student,101,2025-11-20 16:58:49.628456
75,724,918,student,104,2025-11-22 16:58:49.628456
76,692,403,student,101,2025-11-01 16:58:49.628456
77,220,635,student,101,2025-12-23 16:58:49.628456
78,430,105,student,103,2025-11-10 16:58:49.628456
79,754,938,faculty,102,2025-10-31 16:58:49.628456
80,62,896,student,101,2026-01-19 16:58:49.628456
81,337,220,faculty,102,2025-12-25 16:58:49.628456
82,239,184,student,103,2026-01-17 16:58:49.628456
83,83,82,student,101,2026-01-04 16:58:49.628456
84,719,390,student,102,2026-01-08 16:58:49.628456
85,471,312,mentor,102,2025-12-22 16:58:49.628456
86,329,28,mentor,102,2026-01-01 16:58:49.628456
87,253,84,faculty,104,2026-01-16 16:58:49.628456
88,170,241,faculty,103,2026-01-05 16:58:49.628456
89,521,518,student,103,2025-12-02 16:58:49.628456
90,481,333,student,102,2025-11-09 16:58:49.628456
91,437,889,student,101,2025-12-05 16:58:49.628456
92,665,830,mentor,102,2026-01-02 16:58:49.628456
93,328,79,mentor,103,2025-11-03 16:58:49.628456
94,379,644,student,103,2025-11-08 16:58:49.628456
95,487,119,faculty,104,2025-11-03 16:58:49.628456
96,8,460,student,101,2025-11-06 16:58:49.628456
97,682,114,student,104,2026-01-18 16:58:49.628456
98,512,97,mentor,102,2025-12-22 16:58:49.628456
99,248,933,faculty,103,2025-10-31 16:58:49.628456
100,747,863,student,101,2026-01-21 16:58:49.628456
101,452,532,faculty,102,2026-01-23 16:58:49.628456
102,619,326,student,103,2025-12-20 16:58:49.628456
103,401,888,student,103,2026-01-12 16:58:49.628456
104,743,664,student,103,2025-11-13 16:58:49.628456
105,727,449,student,102,2025-10-30 16:58:49.628456
106,295,332,student,104,2026-01-26 16:58:49.628456
107,190,949,student,102,2026-01-26 16:58:49.628456
108,747,139,mentor,104,2025-11-21 16:58:49.628456
109,749,349,faculty,101,2026-01-14 16:58:49.628456
110,693,105,student,101,2026-01-14 16:58:49.628456
111,425,664,student,104,2026-01-11 16:58:49.628456
112,355,198,faculty,102,2025-11-09 16:58:49.628456
113,232,517,student,103,2026-01-26 16:58:49.628456
114,680,312,student,104,2025-12-03 16:58:49.628456
115,186,371,student,102,2025-12-30 16:58:49.628456
116,471,442,student,102,2026-01-21 16:58:49.628456
117,799,350,student,101,2025-11-14 16:58:49.628456
118,511,597,student,102,2026-01-18 16:58:49.628456
119,650,19,student,102,2026-01-24 16:58:49.628456
120,261,910,faculty,104,2026-01-13 16:58:49.628456
121,659,702,student,104,2025-12-22 16:58:49.628456
122,240,427,student,102,2025-12-17 16:58:49.628456
123,305,905,student,101,2025-11-23 16:58:49.628456
124,492,266,student,103,2026-01-23 16:58:49.628456
125,713,890,student,104,2025-11-11 16:58:49.628456
126,200,775,faculty,103,2026-01-19 16:58:49.628456
127,287,214,faculty,104,2025-11-18 16:58:49.628456
128,467,29,student,101,2025-12-19 16:58:49.628456
129,574,26,student,101,2025-12-15 16:58:49.628456
130,695,787,mentor,102,2026-01-28 16:58:49.628456
131,641,67,student,103,2025-12-11 16:58:49.628456
132,122,96,student,103,2025-10-31 16:58:49.628456
133,115,289,student,103,2026-01-01 16:58:49.628456
134,599,787,student,102,2025-12-18 16:58:49.628456
135,561,648,student,101,2026-01-16 16:58:49.628456
136,68,337,student,103,2026-01-05 16:58:49.628456
137,638,588,student,102,2026-01-04 16:58:49.628456
138,4,455,student,101,2025-12-18 16:58:49.628456
