job_id,company,job_type,college_id,posted_at
1,Google,full-time,102,2026-01-26 16:58:49.650396
2,Google,internship,102,2026-01-08 16:58:49.650396
3,Infosys,internship,103,2025-11-23 16:58:49.650396
4,TCS,internship,104,2025-12-27 16:58:49.650396
5,Infosys,internship,102,2025-12-23 16:58:49.650396
6,Infosys,internship,104,2026-01-07 16:58:49.650396
7,Microsoft,internship,102,2025-11-30 16:58:49.650396
8,Infosys,internship,103,2025-12-30 16:58:49.650396
9,Microsoft,full-time,104,2025-12-29 16:58:49.650396
10,TCS,full-time,102,2025-12-28 16:58:49.650396
11,Microsoft,internship,102,2025-12-30 16:58:49.650396
12,TCS,full-time,101,2025-11-03 16:58:49.650396
13,Amazon,internship,102,2026-01-22 16:58:49.650396
14,Infosys,internship,102,2025-12-16 16:58:49.650396
15,Infosys,internship,104,2026-01-19 16:58:49.650396
16,TCS,internship,103,2025-12-28 16:58:49.650396
17,Google,full-time,102,2025-11-28 16:58:49.650396
18,Amazon,full-time,101,2026-01-14 16:58:49.650396
19,Microsoft,internship,101,2025-11-06 16:58:49.650396
20,Infosys,full-time,104,2026-01-15 16:58:49.650396
21,Amazon,full-time,104,2026-01-27 16:58:49.650396
22,Google,full-time,104,2025-12-20 16:58:49.650396
23,Infosys,internship,102,2026-01-25 16:58:49.650396
24,TCS,internship,101,2025-11-25 16:58:49.650396
25,TCS,internship,104,2025-10-31 16:58:49.650396
26,Microsoft,internship,101,2025-12-17 16:58:49.650396
27,Infosys,internship,101,2025-12-10 16:58:49.650396
28,TCS,full-time,101,2025-11-19 16:58:49.650396
29,Microsoft,full-time,102,2025-11-30 16:58:49.650396
30,TCS,internship,101,2026-01-04 16:58:49.650396
31,Infosys,internship,102,2025-11-08 16:58:49.650396
32,Amazon,internship,101,2025-12-24 16:58:49.650396
33,Microsoft,internship,103,2025-11-27 16:58:49.650396
34,Amazon,full-time,102,2026-01-07 16:58:49.650396
35,Google,internship,104,2025-11-12 16:58:49.650396
36,Google,internship,103,2025-12-03 16:58:49.650396
37,Google,full-time,102,2025-12-07 16:58:49.650396
38,Infosys,full-time,102,2026-01-03 16:58:49.650396
39,Infosys,internship,104,2025-11-28 16:58:49.650396
40,Amazon,full-time,101,2025-12-31 16:58:49.650396
41,Amazon,internship,102,2025-11-18 16:58:49.650396
42,Amazon,internship,101,2025-11-07 16:58:49.650396
43,Amazon,full-time,101,2026-01-12 16:58:49.650396
44,TCS,internship,101,2025-12-14 16:58:49.650396
45,Amazon,full-time,103,2025-11-17 16:58:49.650396
46,Google,internship,103,2025-12-09 16:58:49.650396
47,Amazon,full-time,101,2026-01-13 16:58:49.650396
48,Amazon,full-time,101,2025-12-30 16:58:49.650396
49,TCS,internship,101,2026-01-11 16:58:49.650396
50,Microsoft,internship,101,2025-11-26 16:58:49.650396
51,Microsoft,full-time,103,2025-11-12 16:58:49.650396
52,TCS,full-time,101,2025-11-22 16:58:49.650396
53,Google,internship,104,2025-11-29 16:58:49.650396
54,TCS,internship,103,2025-11-13 16:58:49.650396
55,Microsoft,full-time,103,2025-12-19 16:58:49.650396
56,Infosys,full-time,102,2026-01-19 16:58:49.650396
57,Google,internship,104,2025-11-16 16:58:49.650396
58,TCS,internship,101,2026-01-14 16:58:49.650396
