post_id,user_id,role,college_id,content_type,created_at
1,343,student,104,video,2025-11-10 16:58:49.615440
2,839,student,104,text,2025-10-31 16:58:49.615440
3,733,faculty,104,text,2025-12-01 16:58:49.615440
4,535,faculty,103,video,2026-01-20 16:58:49.615440
5,383,student,104,text,2026-01-25 16:58:49.615440
6,315,student,104,video,2026-01-17 16:58:49.615440
7,462,faculty,102,text,2025-11-05 16:58:49.615440
8,300,student,103,video,2026-01-09 16:58:49.615440
9,678,student,103,image,2026-01-11 16:58:49.615440
10,565,student,102,image,2025-11-25 16:58:49.615440
11,942,student,104,image,2025-11-08 16:58:49.615440
12,421,student,101,image,2025-12-08 16:58:49.615440
13,372,student,101,text,2025-12-26 16:58:49.615440
14,875,student,102,video,2025-12-22 16:58:49.615440
15,366,faculty,104,image,2026-01-23 16:58:49.615440
16,204,faculty,104,image,2026-01-26 16:58:49.615440
17,20,student,101,image,2025-12-25 16:58:49.615440
18,222,student,102,video,2025-12-20 16:58:49.615440
19,304,student,103,text,2025-11-27 16:58:49.615440
20,482,student,104,image,2025-11-21 16:58:49.615440
21,613,student,103,image,2025-11-16 16:58:49.615440
22,455,student,101,text,2025-11-26 16:58:49.615440
23,662,student,101,image,2025-12-05 16:58:49.615440
24,929,student,104,image,2025-11-27 16:58:49.615440
25,262,faculty,101,video,2025-11-01 16:58:49.615440
26,96,student,104,image,2025-12-21 16:58:49.615440
27,239,student,104,video,2026-01-05 16:58:49.615440
28,948,mentor,103,image,2025-11-12 16:58:49.615440
29,96,faculty,104,video,2025-12-20 16:58:49.615440
30,341,student,104,text,2025-12-11 16:58:49.615440
31,69,student,102,text,2025-11-03 16:58:49.615440
32,560,student,101,text,2025-11-23 16:58:49.615440
33,585,student,104,text,2025-12-22 16:58:49.615440
34,465,student,104,image,2026-01-06 16:58:49.615440
35,605,student,102,video,2025-11-12 16:58:49.615440
36,717,student,103,video,2025-11-22 16:58:49.615440
37,858,student,104,image,2025-12-27 16:58:49.615440
38,392,student,104,text,2025-12-05 16:58:49.615440
39,405,student,104,image,2026-01-14 16:58:49.615440
40,971,faculty,104,video,2026-01-27 16:58:49.615440
41,959,student,104,image,2026-01-15 16:58:49.615440
42,355,student,101,image,2025-11-13 16:58:49.615440
43,792,student,104,video,2025-12-17 16:58:49.615440
44,136,student,104,video,2026-01-06 16:58:49.615440
45,73,student,104,text,2025-12-30 16:58:49.615440
46,346,student,101,image,2025-12-16 16:58:49.615440
47,715,student,102,image,2025-12-08 16:58:49.615440
48,300,student,101,text,2025-11-20 16:58:49.615440
49,438,faculty,103,text,2025-11-15 16:58:49.615440
50,638,mentor,104,text,2025-12-18 16:58:49.615440
51,133,faculty,103,text,2025-11-17 16:58:49.615440
52,871,student,101,image,2025-12-24 16:58:49.615440
53,450,student,101,text,2025-11-09 16:58:49.615440
54,456,faculty,102,text,2026-01-03 16:58:49.615440
55,303,student,104,text,2025-11-25 16:58:49.615440
56,895,student,102,image,2025-12-14 16:58:49.615440
57,107,mentor,102,image,2025-12-30 16:58:49.615440
58,586,mentor,103,video,2026-01-01 16:58:49.615440
59,96,student,102,image,2025-11-30 16:58:49.615440
60,203,student,102,video,2026-01-09 16:58:49.615440
61,644,mentor,101,image,2025-12-20 16:58:49.615440
62,262,student,102,video,2026-01-08 16:58:49.615440
63,629,student,101,video,2026-01-02 16:58:49.615440
64,495,faculty,101,video,2026-01-07 16:58:49.615440
65,805,student,103,image,2025-12-24 16:58:49.615440
66,964,student,102,video,2025-10-31 16:58:49.615440
67,796,student,102,image,2025-12-27 16:58:49.615440
68,527,mentor,101,image,2026-01-16 16:58:49.615440
69,949,student,101,image,2026-01-27 16:58:49.615440
70,515,student,102,text,2025-11-19 16:58:49.615440
71,936,faculty,103,image,2026-01-23 16:58:49.615440
72,570,student,102,image,2025-11-14 16:58:49.615440
73,131,student,101,image,2026-01-26 16:58:49.615440
74,248,student,103,video,2025-12-15 16:58:49.615440
75,91,student,104,text,2025-12-10 16:58:49.615440
76,758,student,101,image,2025-11-09 16:58:49.615440
77,733,student,104,text,2025-12-31 16:58:49.615440
78,937,student,101,image,2025-11-05 16:58:49.615440
79,465,student,103,image,2025-11-28 16:58:49.615440
80,119,student,102,text,2026-01-10 16:58:49.615440
81,303,student,104,video,2026-01-05 16:58:49.615440
82,466,student,104,video,2026-01-18 16:58:49.615440
83,587,student,103,video,2026-01-13 16:58:49.615440
84,977,student,103,image,2025-12-01 16:58:49.615440
85,120,faculty,104,video,2025-12-23 16:58:49.615440
86,31,faculty,101,text,2025-12-28 16:58:49.615440
87,785,mentor,101,video,2025-11-17 16:58:49.615440
88,435,faculty,101,image,2026-01-12 16:58:49.615440
89,318,student,101,image,2025-11-03 16:58:49.615440
90,989,student,101,text,2025-11-03 16:58:49.615440
91,504,student,101,image,2026-01-21 16:58:49.615440
92,671,student,101,video,2026-01-18 16:58:49.615440
93,771,student,103,text,2025-11-23 16:58:49.615440
94,426,faculty,102,video,2025-12-09 16:58:49.615440
95,188,student,104,video,2026-01-17 16:58:49.615440
96,76,student,104,text,2025-12-23 16:58:49.615440
97,447,student,101,image,2025-12-19 16:58:49.615440
98,958,student,104,text,2026-01-17 16:58:49.615440
99,923,student,103,text,2025-12-19 16:58:49.615440
100,114,faculty,101,text,2025-12-29 16:58:49.615440
101,247,student,102,video,2025-11-28 16:58:49.615440
102,789,student,103,image,2025-11-01 16:58:49.615440
103,432,mentor,102,image,2025-11-29 16:58:49.615440
104,586,student,104,text,2025-12-16 16:58:49.615440
105,422,student,104,video,2026-01-17 16:58:49.615440
106,62,student,104,text,2025-11-27 16:58:49.615440
107,933,student,101,image,2025-11-27 16:58:49.615440
108,310,faculty,104,text,2025-11-01 16:58:49.615440
109,683,faculty,103,text,2025-12-30 16:58:49.615440
110,438,faculty,102,image,2025-12-05 16:58:49.615440
111,652,student,102,video,2026-01-19 16:58:49.615440
112,363,student,101,text,2026-01-12 16:58:49.615440
113,580,faculty,101,text,2025-12-15 16:58:49.615440
114,954,student,101,image,2025-11-09 16:58:49.615440
115,688,student,103,video,2025-12-12 16:58:49.615440
116,668,student,102,video,2025-11-23 16:58:49.615440
117,481,student,104,image,2026-01-26 16:58:49.615440
118,286,student,102,image,2026-01-11 16:58:49.615440
119,913,student,101,image,2025-11-27 16:58:49.615440
120,552,mentor,101,text,2025-12-06 16:58:49.615440
121,636,faculty,104,image,2025-12-17 16:58:49.615440
122,354,mentor,101,video,2026-01-20 16:58:49.615440
123,405,student,104,video,2026-01-16 16:58:49.615440
124,759,faculty,103,video,2025-12-03 16:58:49.615440
125,979,faculty,101,video,2025-12-24 16:58:49.615440
126,623,student,103,image,2025-12-09 16:58:49.615440
127,963,faculty,102,image,2025-12-02 16:58:49.615440
128,623,student,104,video,2025-11-12 16:58:49.615440
129,172,student,103,image,2026-01-23 16:58:49.615440
130,292,faculty,101,video,2026-01-19 16:58:49.615440
131,196,student,103,image,2025-12-30 16:58:49.615440
132,16,student,101,text,2025-12-24 16:58:49.615440
133,173,student,101,text,2026-01-18 16:58:49.615440
134,16,student,102,text,2026-01-06 16:58:49.615440
135,564,mentor,103,text,2025-11-17 16:58:49.615440
136,664,mentor,102,text,2026-01-12 16:58:49.615440
137,269,student,104,video,2025-11-02 16:58:49.615440
138,773,student,104,video,2026-01-12 16:58:49.615440
139,422,student,104,image,2025-12-14 16:58:49.615440
140,770,student,101,image,2026-01-10 16:58:49.615440
141,150,faculty,101,image,2026-01-05 16:58:49.615440
142,40,student,101,video,2025-11-05 16:58:49.615440
143,564,student,103,image,2025-11-28 16:58:49.615440
144,151,student,104,video,2026-01-20 16:58:49.615440
145,915,student,101,video,2026-01-23 16:58:49.615440
146,325,mentor,101,image,2026-01-15 16:58:49.616445
